id,zone_type,geometry
685,Bytovaresidentalhigh,"POLYGON ((17.2570740550466 49.6037928887853,17.2570414946321 49.603808700757,17.2569818715861 49.603837655427,17.2570038338437 49.6038564078103,17.2570445670821 49.6038907183458,17.2570971242361 49.603907861843,17.2571423859523 49.6039125796321,17.2571844529613 49.6039081264571,17.2571990354094 49.6039017770102,17.2571861996995 49.6038846898499,17.2572178577489 49.6038653142208,17.2573230789061 49.6038123443484,17.2574082860468 49.6037661149966,17.2575668322523 49.6037137219061,17.2577414895737 49.6036733672178,17.2577661984474 49.6036897872287,17.2577838887865 49.6036751513144,17.2577912332799 49.6036608027494,17.2577924570613 49.6036431903111,17.2577775068859 49.6036254886847,17.257830975691 49.6036222494023,17.2578586539726 49.6037010214987,17.2578805860612 49.6037067421135,17.2579065381813 49.6037438974037,17.2579223226936 49.6037994270953,17.2579041179959 49.6038078138018,17.2578974837312 49.6038030819492,17.2578833568347 49.6038088630571,17.2579277696019 49.6039180939321,17.2579444302857 49.6039205367932,17.2580386737711 49.6039343582994,17.2580576652048 49.6039929640135,17.258092726834 49.6041004234423,17.2581247213758 49.6041990782751,17.2580926749129 49.6042065702065,17.2579628335791 49.6041800109604,17.2579387950688 49.6041159146485,17.2578991929222 49.6039804283613,17.2578733247913 49.6038898202824,17.2578229854193 49.6038052815238,17.2577659899055 49.6037738649961,17.2576957459385 49.6037521120563,17.2576084509175 49.6037628481163,17.2575329779122 49.6037812814234,17.2574833652642 49.603798994208,17.2573914388254 49.6038528230135,17.2572855877889 49.6039135227191,17.2572478227264 49.6039439554847,17.2572472904106 49.6039594611065,17.2572164485341 49.6039927318993,17.2572233177522 49.6040380023017,17.2572556704574 49.6040681852732,17.257523334613 49.6042884107633,17.2578261708219 49.6045403637853,17.2579117042099 49.6045814650645,17.258151838819 49.6047719861307,17.2582729277793 49.6049086732584,17.2584466440236 49.6050380017663,17.258542180791 49.6050714291248,17.2586674274052 49.6050895629192,17.2587684026957 49.6050932176287,17.2588490409333 49.6050855172063,17.2589576458272 49.60506814808,17.2590244942649 49.605035170543,17.2591313705636 49.6049915826074,17.2591569071266 49.6049545017305,17.2591614705193 49.6049246734641,17.2591470138367 49.60488931175,17.259122243195 49.6048059475132,17.2590836549801 49.6046686147835,17.2590447608119 49.6045549307331,17.2590480135228 49.6045264522402,17.2590773561337 49.604493346966,17.259166148367 49.6044395537317,17.2593814186249 49.6043164699501,17.2594173976358 49.6043482007504,17.2594671998782 49.6043184254839,17.2596453091404 49.6044527220487,17.2596256505309 49.604465796338,17.2596546265185 49.6044855986877,17.259564090671 49.6045435833034,17.2595358057736 49.6045625563587,17.2594913517208 49.6045862216228,17.2596743888256 49.6047484257852,17.2598182231786 49.6046979487824,17.2599295043481 49.6046640371897,17.2594643779802 49.6042220376806,17.2583892179616 49.6032781232997,17.2584205284333 49.6031430602233,17.258293536255 49.6032037093591,17.2574691058494 49.6036152025029,17.2570740550466 49.6037928887853))"
686,RDresidentalLow,"POLYGON ((17.261311711912 49.5998854610237,17.2610892126029 49.6000030585239,17.2612516305825 49.6001340447862,17.261400204931 49.6002593551907,17.2611989614283 49.6003630257431,17.2609723798388 49.6004784475367,17.2608254093387 49.6003522839323,17.2606673618595 49.600221579608,17.2605565422923 49.6002727548905,17.2603915584821 49.6003605972324,17.2606277263668 49.600557743247,17.2607039771495 49.6006171782394,17.2608538620412 49.600743529731,17.2610181728713 49.6008717697962,17.2612833120394 49.6007312967015,17.2615493880961 49.6005981515374,17.2617136457408 49.6005150427266,17.26199963601 49.600367117543,17.2619984609331 49.6003266855378,17.261311711912 49.5998854610237))"
687,RDresidentalLow,"POLYGON ((17.2606673618595 49.600221579608,17.2608254093387 49.6003522839323,17.2609723798388 49.6004784475367,17.2611989614283 49.6003630257431,17.261400204931 49.6002593551907,17.2612516305825 49.6001340447862,17.2610892126029 49.6000030585239,17.2608763232784 49.6001141050727,17.2606673618595 49.600221579608))"
688,RDresidentalLow,"POLYGON ((17.2604414747244 49.5993236450267,17.2600665475749 49.5995148382226,17.2596166378169 49.5997442640517,17.2593521535967 49.5998791332717,17.2590259293454 49.6000454827215,17.2593409663412 49.6003175870639,17.2600610484082 49.5999741268297,17.2601428466632 49.5999299221597,17.2604111889977 49.5997987908594,17.2607199873971 49.600052556706,17.2611961781136 49.5998106260506,17.2610908913423 49.5997414262737,17.2609315983502 49.5996400477427,17.2608066377756 49.5995624046,17.2606312700878 49.5994463599772,17.2604414747244 49.5993236450267))"
689,RDresidentalLow,"POLYGON ((17.2590259293454 49.6000454827215,17.2586835784576 49.6002206965644,17.2583215537774 49.6003943035262,17.2581919595181 49.6004719973477,17.2584196878087 49.6006569361433,17.2587875622565 49.6009645397711,17.2588418031849 49.6010139471764,17.2593881761075 49.6007317542721,17.2596240835909 49.6006131128983,17.2592977887128 49.600341478345,17.2593409663412 49.6003175870639,17.2590259293454 49.6000454827215))"
690,Bytovaresidentalhigh,"POLYGON ((17.2597959640375 49.6001005662343,17.2593409663412 49.6003175870639,17.2592977887128 49.600341478345,17.2596240835909 49.6006131128983,17.2601087090315 49.6003738269534,17.2597959640375 49.6001005662343))"
691,RDresidentalLow,"POLYGON ((17.2601087090315 49.6003738269534,17.2602807640242 49.6002763050389,17.2607199873971 49.600052556706,17.2604111889977 49.5997987908594,17.2601428466632 49.5999299221597,17.2597959640375 49.6001005662343,17.2601087090315 49.6003738269534))"
692,RDresidentalLow,"POLYGON ((17.2602110386455 49.6004508217681,17.2590300493365 49.6010535001315,17.2591242336364 49.6011303526798,17.2593379767201 49.6013105602013,17.2595773816161 49.601188319804,17.2600602586063 49.6009364489674,17.2605247960282 49.6007082550906,17.2602110386455 49.6004508217681))"
693,RDresidentalLow,"POLYGON ((17.2605247960282 49.6007082550906,17.2600602586063 49.6009364489674,17.2595773816161 49.601188319804,17.2593379767201 49.6013105602013,17.2596551139898 49.6015651546536,17.25977335977 49.6015039389522,17.2602432517138 49.6012600267871,17.2608269024592 49.6009649346984,17.2605247960282 49.6007082550906))"
694,Bytovaresidentalhigh,"POLYGON ((17.2597939884816 49.6016780048641,17.2604068341012 49.6021926899105,17.2606783917814 49.6020526326265,17.2603952479359 49.6018258664929,17.260058443088 49.6015459059961,17.2597939884816 49.6016780048641))"
695,RDresidentalLow,"POLYGON ((17.260058443088 49.6015459059961,17.2603952479359 49.6018258664929,17.2606783917814 49.6020526326265,17.2609334531742 49.6019088309625,17.2612066477121 49.6017772936254,17.261591098408 49.6015917381778,17.2613936700168 49.6014202395749,17.2611901263033 49.6012502581017,17.2609638517032 49.6010749820682,17.2607393108719 49.601196273726,17.2604969950113 49.6013183287336,17.2602319637127 49.6014542172202,17.260058443088 49.6015459059961))"
696,RDresidentalLow,"POLYGON ((17.2613902820863 49.6008626378176,17.2616997502803 49.6011193116115,17.2614627543276 49.6012402778258,17.2615890866551 49.6013522924596,17.2617695198379 49.6015002202562,17.2620357826421 49.6013610611637,17.2622419775887 49.601253883861,17.2623621102189 49.6011899199608,17.2624489154166 49.6011476146254,17.2626332670201 49.6010533706037,17.2627029437831 49.6010162712662,17.2625695327901 49.6009072434335,17.2623039619436 49.600854231139,17.2622689679644 49.6008232816898,17.2620865835618 49.6009190861243,17.2619258350064 49.6007867756909,17.2617760287969 49.6006695151837,17.2613902820863 49.6008626378176))"
697,Bytovaresidentalhigh,"POLYGON ((17.2627029437831 49.6010162712662,17.2628818629914 49.6009248318205,17.2628833640784 49.6008957613434,17.2628085679323 49.6008508617139,17.262813662835 49.6008464090035,17.2627340702659 49.6007991922624,17.2624197270001 49.6005974800786,17.2623861659562 49.600617785859,17.2622890622664 49.6005551883855,17.2622951026164 49.6005493624446,17.2622064764825 49.6004986921795,17.2621981774545 49.6005048501446,17.2621946609806 49.6005036343021,17.2620674302841 49.6005707261234,17.262045121948 49.6005530285671,17.2620373938908 49.6005458354965,17.2620215847428 49.6005433792793,17.2620038887885 49.6005484525446,17.2617778464071 49.6006639589335,17.2617760287969 49.6006695151837,17.2619258350064 49.6007867756909,17.2620865835618 49.6009190861243,17.2622689679644 49.6008232816898,17.2623039619436 49.600854231139,17.2625695327901 49.6009072434335,17.2627029437831 49.6010162712662))"
698,RDresidentalLow,"POLYGON ((17.2613902820863 49.6008626378176,17.2611496137096 49.6009837642355,17.2614627543276 49.6012402778258,17.2616997502803 49.6011193116115,17.2613902820863 49.6008626378176))"
699,RDresidentalLow,"POLYGON ((17.2549835119288 49.6023905408533,17.2546202263683 49.602572184825,17.2549143477744 49.6027991981012,17.2552090506574 49.6030368620029,17.2555404474632 49.6028761062709,17.2549835119288 49.6023905408533))"
700,RDresidentalLow,"POLYGON ((17.2545041898631 49.6026381289081,17.2541284500082 49.6028290079738,17.2542115459284 49.6028917592278,17.2540195349287 49.6030012751902,17.2538799342757 49.6030625384106,17.2540384825697 49.603194719262,17.2542643410435 49.6033774419405,17.254495061537 49.6035716668027,17.254573570579 49.6036355551861,17.2548198653261 49.6035150850602,17.2546280536672 49.6033596184004,17.2546878207318 49.6032885861711,17.2546820543371 49.6032848060687,17.254825923724 49.6032125710931,17.2550617591936 49.6030943058283,17.2545041898631 49.6026381289081))"
701,RDresidentalLow,"POLYGON ((17.2548198653261 49.6035150850602,17.2549926202287 49.603422280322,17.2550485077478 49.6033936180849,17.2552234556013 49.6033081000167,17.2552853506046 49.6032762395092,17.2550617591936 49.6030943058283,17.254825923724 49.6032125710931,17.2546820543371 49.6032848060687,17.2546878207318 49.6032885861711,17.2546280536672 49.6033596184004,17.2548198653261 49.6035150850602))"
702,Bytovaresidentalhigh,"POLYGON ((17.2549835119288 49.6023905408533,17.2547698738984 49.6022133252158,17.2544469303205 49.6023765372202,17.2544417724132 49.602416249753,17.2546292774848 49.6025676598846,17.2549835119288 49.6023905408533))"
703,Bytovaresidentalhigh,"POLYGON ((17.2538799342757 49.6030625384106,17.2540195349287 49.6030012751902,17.2542115459284 49.6028917592278,17.2541284500082 49.6028290079738,17.2545041898631 49.6026381289081,17.2543158906789 49.6024799431326,17.2542590672277 49.602476269028,17.2542282640034 49.602490057006,17.2539746397775 49.6026185409068,17.2538304626593 49.6026952877131,17.2536176873226 49.6028020265921,17.253611599879 49.6028417976684,17.2536946951701 49.6029045493026,17.2537686135315 49.6029695765571,17.2538799342757 49.6030625384106))"
704,Bytovaresidentalhigh,"POLYGON ((17.2557876093083 49.6030850355146,17.2554643008335 49.6032506179351,17.2558728928429 49.6035854399346,17.2562279184768 49.6038857168848,17.2565592382022 49.6041485990561,17.2568625247096 49.6039936728478,17.2562527521033 49.6034782310191,17.2557876093083 49.6030850355146))"
705,RDresidentalLow,"POLYGON ((17.2555404474632 49.6028761062709,17.2552090506574 49.6030368620029,17.2554643008335 49.6032506179351,17.2557876093083 49.6030850355146,17.2555404474632 49.6028761062709))"
706,Bytovaresidentalhigh,"POLYGON ((17.2561097429854 49.6039560186505,17.2558429969803 49.6040911305917,17.2556269895105 49.6042005422338,17.2553951275998 49.6043179827038,17.2556852671583 49.6045566888074,17.2557522931769 49.604561020607,17.2563935080215 49.6042363880196,17.2563998837666 49.6041947229566,17.2561097429854 49.6039560186505))"
707,RDresidentalLow,"POLYGON ((17.2561097429854 49.6039560186505,17.2556978096897 49.6036218428512,17.2554640599565 49.6037358362241,17.2553638112128 49.6038139892112,17.2551890472634 49.6039031058032,17.2550075073942 49.6039932177854,17.2550501559128 49.604031836649,17.2553951275998 49.6043179827038,17.2556269895105 49.6042005422338,17.2558429969803 49.6040911305917,17.2561097429854 49.6039560186505))"
708,RDresidentalLow,"POLYGON ((17.2550075073942 49.6039932177854,17.2551890472634 49.6039031058032,17.2553638112128 49.6038139892112,17.2554640599565 49.6037358362241,17.2556978096897 49.6036218428512,17.2555379941931 49.6034979030049,17.2553879647948 49.6033677090175,17.2551443864999 49.6034882389681,17.2549128212462 49.6036023721605,17.2546820926806 49.6037254528723,17.2550075073942 49.6039932177854))"
709,Bytovaresidentalhigh,"POLYGON ((17.2551791475049 49.6048571537692,17.2554135550305 49.6047388994937,17.255586571302 49.6046468012725,17.2552458380903 49.6043637027994,17.2551084972741 49.604251543252,17.2549290764322 49.6043392227183,17.2548863421107 49.604305977763,17.2548717761301 49.6043110132108,17.2548571049045 49.6042987086424,17.254870940838 49.6042924307138,17.2548080664421 49.6042405503621,17.254569139202 49.6043618978859,17.2551791475049 49.6048571537692))"
710,RDresidentalLow,"POLYGON ((17.2551084972741 49.604251543252,17.25498624864 49.6041483487552,17.2548408162861 49.6040289709556,17.2546952053779 49.6039107776003,17.2545517780198 49.6037903339496,17.2543802466877 49.6036444039359,17.2541252932597 49.6034354633932,17.2540522920534 49.603381253915,17.2537592457096 49.6031327922749,17.2534576455803 49.6028873616564,17.2530791677557 49.603076865668,17.2532642800501 49.6032253487815,17.2535485613691 49.603446947366,17.253670808587 49.6035495262852,17.2538448525608 49.6036982492613,17.2539310545788 49.6037719600384,17.2540360389311 49.6039138274967,17.2541681343556 49.6040313872163,17.2543515419623 49.6041790409212,17.254569139202 49.6043618978859,17.2548080664421 49.6042405503621,17.254870940838 49.6042924307138,17.2548571049045 49.6042987086424,17.2548717761301 49.6043110132108,17.2548863421107 49.604305977763,17.2549290764322 49.6043392227183,17.2551084972741 49.604251543252))"
711,Bytovaresidentalhigh,"POLYGON ((17.2570554310995 49.6041474871444,17.2559117331972 49.604741203705,17.2559923589864 49.6049787979693,17.2561076158117 49.6053362576472,17.2561582239924 49.6054815412875,17.2561423443193 49.6055708857726,17.2560597395947 49.6056346888425,17.2556020743825 49.6058848293061,17.2556363255559 49.606021596384,17.2556599446674 49.6060403365088,17.2557755801601 49.6060635896023,17.25580836674 49.6060657093772,17.2559207748286 49.6064129434567,17.2559478845794 49.6064233024643,17.2559631728831 49.6064099451998,17.2560468456848 49.6063680162136,17.2561596153082 49.6063090323217,17.2562551106232 49.6062908176093,17.2565410399773 49.6061268005693,17.2563484129564 49.6059912261176,17.2564258377477 49.6057977957245,17.2569289772392 49.605911597806,17.2571295800139 49.6057906782417,17.2572308020717 49.605742231322,17.2572477186728 49.6057158306189,17.2572505952384 49.6056729824687,17.2572195280154 49.6056355912876,17.2566369742101 49.6055118760851,17.2566429524303 49.6054728149519,17.2566390881334 49.6054259449408,17.2565631327963 49.6054174500365,17.2565017888391 49.6052413494979,17.2568858469941 49.6051836882234,17.2567565768514 49.6048023723336,17.2571989520422 49.6045799293204,17.2571173502793 49.6043558998451,17.2572801538221 49.6043377313271,17.2570554310995 49.6041474871444))"
712,RDresidentalLow,"POLYGON ((17.2529021866069 49.6031667407441,17.2531736254798 49.6033821637241,17.2533640676606 49.6035439016159,17.2534205185483 49.6035355983447,17.2535593006855 49.6035421798189,17.253670808587 49.6035495262852,17.2535485613691 49.603446947366,17.2532642800501 49.6032253487815,17.2530791677557 49.603076865668,17.2529021866069 49.6031667407441))"
713,Bytovaresidentalhigh,"POLYGON ((17.2524787575615 49.6033783948583,17.2524636410354 49.604235192533,17.2532568013248 49.6042506174865,17.2532809143955 49.6036425243705,17.2533427644662 49.6035258103963,17.2529223973033 49.6035093661766,17.252657381419 49.6032896516125,17.2524787575615 49.6033783948583))"
714,Bytovaresidentalhigh,"POLYGON ((17.2534043536286 49.6037072872835,17.253365413673 49.6037754177766,17.2533711159379 49.6038943694599,17.2533977108343 49.6039008700016,17.2534532657354 49.6039104389906,17.2534521187683 49.6040741341389,17.2536861543511 49.6040832888296,17.2536712977441 49.6041803503137,17.2536657026371 49.6043610909475,17.2536703258998 49.6044510450435,17.2536389918124 49.6044394553059,17.2535770379675 49.6043995882156,17.2535546105276 49.6043658626788,17.2535165241043 49.6043382965851,17.2534549620841 49.6043319256776,17.253368272172 49.6043334926342,17.2532289441883 49.6043304613888,17.2531899714959 49.60433272266,17.2531646542793 49.6043298908548,17.2529613992186 49.6043239202598,17.2529555204657 49.604494482244,17.2529542979667 49.60456254022,17.2526906305144 49.6046267781982,17.2526794134177 49.6047240754301,17.2526802760541 49.6048986594808,17.2529660197043 49.6049064967317,17.2531452374972 49.6049133024616,17.2531751031248 49.604910452121,17.2531898373283 49.6048863020831,17.2532005656128 49.6048642828927,17.2532327790657 49.6048340900255,17.2532715427818 49.6047971486898,17.2533356338977 49.6047749934063,17.2534936814888 49.6047278332128,17.2536721179648 49.6046676464839,17.253742225511 49.6046542481171,17.25380597231 49.6046583696504,17.2538755551754 49.604672431143,17.2541637593416 49.604796378193,17.2542794665168 49.6048696047231,17.2546305422623 49.6050154258881,17.2547662939997 49.6050791126221,17.2548420380412 49.6050529286937,17.2549743955084 49.6049933473982,17.2551360460479 49.6048986017252,17.2551791475049 49.6048571537692,17.254569139202 49.6043618978859,17.2543515419623 49.6041790409212,17.2541681343556 49.6040313872163,17.2540360389311 49.6039138274967,17.2539310545788 49.6037719600384,17.2538448525608 49.6036982492613,17.2534043536286 49.6037072872835))"
715,RDresidentalLow,"POLYGON ((17.2533427644662 49.6035258103963,17.2531736254798 49.6033821637241,17.2529021866069 49.6031667407441,17.252657381419 49.6032896516125,17.2529223973033 49.6035093661766,17.2533427644662 49.6035258103963))"
716,Bytovaresidentalhigh,"POLYGON ((17.2522172720237 49.604732014464,17.2520351438665 49.6047297996189,17.2520333833105 49.6047124720372,17.2518938012141 49.6047110966479,17.251901912851 49.6046485035796,17.2514272117714 49.6046350184813,17.2514033708393 49.6049060267782,17.2513879616167 49.605189248276,17.2513657359538 49.6055746414764,17.2513316688547 49.606104629253,17.2520884721348 49.6061210558772,17.2520927770091 49.6060746204524,17.252135353741 49.6060743593344,17.2522172720237 49.604732014464))"
717,RDresidentalLow,"POLYGON ((17.251901912851 49.6046485035796,17.2522232447225 49.604654556105,17.2522510447578 49.6043095936098,17.2514202576458 49.6042960319083,17.2514266229135 49.6042352396258,17.250945199455 49.6041888014126,17.2508840590933 49.6042613525779,17.2508293266448 49.6043304928928,17.2507958487794 49.6043761437372,17.2507775356926 49.6044380760809,17.2507565991431 49.6044979265575,17.2507528420068 49.604541674139,17.2507479263886 49.6045929971097,17.2507438655364 49.6046195119931,17.2514272117714 49.6046350184813,17.251901912851 49.6046485035796))"
718,Bytovaresidentalhigh,"POLYGON ((17.2522232447225 49.604654556105,17.252220562569 49.6046528532396,17.251901912851 49.6046485035796,17.2518938012141 49.6047110966479,17.2520333833105 49.6047124720372,17.2520508394382 49.6046753485312,17.2521145085604 49.6046727715541,17.2522226212926 49.6046778502119,17.2522232447225 49.604654556105))"
719,Obcanska vybavenoscommercial,"POLYGON ((17.2522226212926 49.6046778502119,17.2521145085604 49.6046727715541,17.2520508394382 49.6046753485312,17.2520333833105 49.6047124720372,17.2520351438665 49.6047297996189,17.2522172720237 49.604732014464,17.2522226212926 49.6046778502119))"
720,Obcanska vybavenosindustrial,"POLYGON ((17.2547662939997 49.6050791126221,17.2546305422623 49.6050154258881,17.2546078739958 49.6050424159609,17.2545742307032 49.605060323654,17.254518990611 49.6050366697688,17.254413905178 49.6049925798447,17.2543598245439 49.6049613504361,17.2543408595727 49.6049314356664,17.2542706988437 49.604923552317,17.2542546974563 49.604955988908,17.2543140863199 49.6049765637906,17.2543126570308 49.6050099425898,17.2542967321791 49.6051380154177,17.2543663247876 49.6051640318186,17.2545003624151 49.605153570371,17.2546402169701 49.6051291401154,17.2547662939997 49.6050791126221))"
721,Obcanska vybavenosoffice,"POLYGON ((17.2666844743035 49.5980042317679,17.2664075635421 49.5978907258583,17.2655383364359 49.5977419703058,17.2652291684121 49.5976891375107,17.2647690518679 49.597641905422,17.2647612185747 49.5976832784115,17.2647164293785 49.5978651560314,17.2647016163271 49.5979289887166,17.2646965176519 49.5979292576426,17.2646964354263 49.5979362948662,17.2646998021553 49.597934849008,17.2646930923945 49.5979637021348,17.2646862640637 49.5979632618648,17.2646873192262 49.5979713986005,17.2646785907291 49.5979833863377,17.2646748995579 49.5979804584918,17.2646703562866 49.5979891303151,17.264655796041 49.5979971553078,17.2646510596095 49.5979950566436,17.2646440064813 49.5979990844865,17.2646248916145 49.598003827003,17.2646221110712 49.5980009577949,17.2646145581882 49.5980052517984,17.2645818753948 49.5980085200976,17.2645818782564 49.5980115093453,17.2645648997038 49.5980142975296,17.2645569302604 49.5980122891304,17.2645480432749 49.5980136874072,17.2644666535579 49.5980822109876,17.2643113989402 49.5981955498065,17.2641343739208 49.5983256994003,17.263953240966 49.5984581663551,17.2637969786031 49.5985708647919,17.2636300407278 49.5986956409363,17.263498690963 49.5987897232031,17.2634971172621 49.5988115687971,17.263474409299 49.5988301845661,17.2634223272671 49.5988677030299,17.2633816006006 49.5988959144688,17.2633508967075 49.598894648503,17.2632938948319 49.5989282636233,17.2632445348644 49.5989551991761,17.2631441643478 49.5989982058973,17.2630945725778 49.599012217162,17.2629059253381 49.5990624333312,17.2626789911369 49.5991236837697,17.2625520393366 49.5991360456884,17.2624231095306 49.5991372814662,17.2621135355281 49.5991411946299,17.2616387888007 49.599142806177,17.2613040802171 49.5991427034091,17.2609309953457 49.5993887602578,17.2615329067606 49.5997683203839,17.2618069228117 49.5999488214262,17.2617991469567 49.5999534830306,17.2618064063362 49.59995796855,17.261814152207 49.5999534964429,17.261858845966 49.5999806733753,17.2618519446939 49.5999853916507,17.2618591468388 49.5999902552095,17.2618677672925 49.5999858397664,17.2619105928815 49.6000136802083,17.2619030799393 49.6000185498799,17.2619111853205 49.6000232815304,17.26191893115 49.6000188085176,17.261962314541 49.6000468575327,17.261955384669 49.600051765285,17.2619628770069 49.6000566483521,17.2619711773058 49.6000524028841,17.262014332952 49.6000800155386,17.2620068786364 49.6000845071469,17.262015216927 49.6000896354488,17.2620243904287 49.6000854466703,17.2620667230511 49.6001145938865,17.2620605206372 49.6001185923407,17.2620684802401 49.6001242704891,17.2620752057804 49.6001187757014,17.2621176861633 49.6001469574603,17.2621117466641 49.600151163977,17.262118918876 49.6001562170165,17.2621255858312 49.6001511011947,17.2621703750414 49.6001795850294,17.2621634451724 49.6001844927941,17.2621698300328 49.6001889216244,17.262178071752 49.6001850551103,17.2622228544326 49.6002135759352,17.2622154573168 49.6002176886152,17.2622231840214 49.6002229691949,17.2622312214095 49.6002185156488,17.2622743857909 49.6002460713628,17.2622663770023 49.6002503354411,17.2622743952746 49.6002556355045,17.2622827527785 49.6002510110724,17.2623270847194 49.6002795991436,17.2623193081158 49.6002849921553,17.2623270048561 49.6002902229377,17.2623356314408 49.6002850426976,17.2623789933148 49.6003129453471,17.2623713126792 49.6003184381382,17.2623792709977 49.6003233993258,17.2623871115274 49.600318310917,17.262430856096 49.6003461673819,17.2624230879768 49.6003515044608,17.2624307050576 49.6003562995985,17.262438771047 49.600351656567,17.2624827974918 49.6003795911613,17.2624755730485 49.6003847430936,17.2624825890446 49.6003893799617,17.2624920540768 49.600385209734,17.2625343019543 49.6004129928764,17.2625259306353 49.6004189633674,17.2625347112877 49.6004228217714,17.2625427922687 49.6004180839837,17.2625874010292 49.6004463067108,17.2625771532586 49.6004523148012,17.2625865720768 49.6004565340467,17.2625958913449 49.600450919238,17.262638169351 49.6004799485705,17.2626298676471 49.6004837155374,17.2626359563112 49.6004896074533,17.2626468067879 49.6004860047404,17.2626863473242 49.6005100751352,17.2626742622688 49.6005167875533,17.2626854489143 49.6005219707506,17.2626945488696 49.6005165815197,17.2627475676389 49.6005511454679,17.2628537385714 49.600626617215,17.2630284008191 49.6007389057573,17.2633285355325 49.6009315584216,17.2635832254604 49.6010942591576,17.2638847957993 49.6012883765049,17.2642062319578 49.6014957302282,17.2644047718572 49.6016227073335,17.264657711465 49.6017860696867,17.2650755565108 49.6012650272541,17.2653614860471 49.6008615630695,17.2655769827541 49.6004948668276,17.2657323689314 49.6001857320837,17.2663769076083 49.5987263291101,17.2666844743035 49.5980042317679))"
722,RDresidentalLow,"POLYGON ((17.2528108105882 49.6112976955464,17.2529380725493 49.6113604333726,17.2529074925448 49.6113871453217,17.2531816915507 49.6115138918051,17.253580533522 49.6117060741302,17.2537172533186 49.6115628585631,17.2538710117729 49.6114092689458,17.2540110151787 49.6112734375508,17.2541068973275 49.6111806566023,17.2538380323849 49.6108892937484,17.2528108105882 49.6112976955464))"
723,RDresidentalLow,"POLYGON ((17.2538380323849 49.6108892937484,17.2541068973275 49.6111806566023,17.2543943699178 49.6109322842604,17.2546643557445 49.6107116143739,17.2543218352543 49.6106995150928,17.2538380323849 49.6108892937484))"
724,RDresidentalLow,"POLYGON ((17.2531525883997 49.6106024125273,17.253166970505 49.6108256854453,17.2527810046478 49.6108810628854,17.2530297215263 49.6111309613785,17.2533419754259 49.6110091356995,17.2535936990724 49.6109077822676,17.2537768092546 49.6108335511815,17.2539114074743 49.6107762664979,17.254050159519 49.6107206845958,17.2540864274952 49.6107000776044,17.254074365234 49.6106490915723,17.254034985575 49.6106035116209,17.2539394363538 49.6105643423637,17.2531525883997 49.6106024125273))"
725,RDresidentalLow,"POLYGON ((17.2530297215263 49.6111309613785,17.2527810046478 49.6108810628854,17.2526474618656 49.6108989413169,17.2526366633419 49.6108923867337,17.2524490359746 49.6109211385697,17.2524422770716 49.6107994881201,17.2524140835331 49.6108034031827,17.2522919016592 49.6108084137889,17.2519772890829 49.6108150647279,17.2519608257627 49.6108714000089,17.2519551639334 49.6108987664851,17.2520083268741 49.6110609527916,17.2520378448495 49.6111718106521,17.2521024428519 49.6113247650814,17.2524200885768 49.6112255269948,17.2523164039243 49.6111241480063,17.2523158163295 49.6110991503074,17.2524314195081 49.6110650243021,17.2525332530994 49.6110343120672,17.2526652556034 49.6110084197411,17.2527564660823 49.6110903432563,17.2528634352738 49.6111991063996,17.2530297215263 49.6111309613785))"
726,RDresidentalLow,"POLYGON ((17.2531525883997 49.6106024125273,17.2531443809663 49.6105776873537,17.2526370031986 49.6105946129438,17.2526706756703 49.6108958329151,17.2527810046478 49.6108810628854,17.253166970505 49.6108256854453,17.2531525883997 49.6106024125273))"
727,RDresidentalLow,"POLYGON ((17.2526370031986 49.6105946129438,17.2524146456972 49.6106051002907,17.2524422770716 49.6107994881201,17.2524490359746 49.6109211385697,17.2526366633419 49.6108923867337,17.2526474618656 49.6108989413169,17.2526706756703 49.6108958329151,17.2526370031986 49.6105946129438))"
728,RDresidentalLow,"POLYGON ((17.2520263149412 49.6106198441859,17.2520170209128 49.6106510316983,17.2520141954128 49.6106887834632,17.2519772890829 49.6108150647279,17.2522919016592 49.6108084137889,17.2524140835331 49.6108034031827,17.2524422770716 49.6107994881201,17.2524146456972 49.6106051002907,17.2520263149412 49.6106198441859))"
729,RDresidentalLow,"POLYGON ((17.2528634352738 49.6111991063996,17.2527564660823 49.6110903432563,17.2526652556034 49.6110084197411,17.2525332530994 49.6110343120672,17.2524314195081 49.6110650243021,17.2523158163295 49.6110991503074,17.2523164039243 49.6111241480063,17.2524200885768 49.6112255269948,17.2521024428519 49.6113247650814,17.2522031953792 49.6114382466665,17.2524172401914 49.6113796439795,17.2525251299582 49.6113358149756,17.2526525968829 49.6112842866665,17.2528634352738 49.6111991063996))"
